id,plec,miasto_kat,wojewodztwo,domena_kat,wiek,IPA,IPB,wynik,typ_adresu,wybory,poczta,data,
"3090465",,"miasto_woj154","woj17","domena_kat24",,"ipA7","ipB1880","nie",,,,"2014-11-13",
"4511748",,"miasto_woj154","woj17","domena_kat10",,"ipA13","ipB131","nie",,,,"2014-11-11",
"205629",,"miasto_woj154","woj17","domena_kat24",,"ipA17","ipB2614","nie",,,,"2014-11-12",
"4801457","k","miasto_woj154","woj4","domena_kat9","49","ipA11","ipB3136","nie","mieszkanie","wybory61","r003","2014-11-11",
"412332",,"miasto_woj154","woj17","domena_kat10",,"ipA59","ipB5459","nie",,,,"2014-11-12",
"3460281",,"miasto_woj154","woj17","domena_kat10",,"ipA1","ipB1975","nie",,,,"2014-11-11",
"3899359",,"miasto_woj154","woj17","domena_kat17",,"ipA5","ipB1592","nie",,,,"2014-11-11",
"3204223","k","miasto_woj214","woj1","domena_kat14","36","ipA5","ipB1399","nie","mieszkanie","wybory14","c036","2014-11-13",
"3008342","k","miasto_woj154","woj38","domena_kat9","18","ipA22","ipB2083","nie","mieszkanie","wybory116","c020","2014-11-13",
"2347805","m","miasto_woj154","woj1","domena_kat1","69","ipA19","ipB1882","nie","wiezowiec","wybory184","c094","2014-11-13",
"2944658",,"miasto_woj154","woj17","domena_kat24",,"ipA17","ipB3567","nie",,,,"2014-11-13",
"3009028",,"miasto_woj154","woj17","domena_kat24",,"ipA11","ipB2823","nie",,,,"2014-11-13",
"4468589",,"miasto_woj141","woj18","domena_kat24",,"ipA3","ipB3157","nie",,,,"2014-11-11",
"4587750",,"miasto_woj154","woj17","domena_kat10",,"ipA13","ipB1907","nie",,,,"2014-11-11",
"3734493",,"miasto_woj154","woj17","domena_kat24",,"ipA12","ipB2041","nie",,,,"2014-11-11",
"4416215","m","miasto_woj194","woj30","domena_kat24","73","ipA35","ipB7826","nie","wiezowiec","wybory212","c065","2014-11-11",
"2969519","k","miasto_woj154","woj10","domena_kat24","44","ipA25","ipB2222","nie","mieszkanie","wybory252","r005","2014-11-13",
"4793554","m","miasto_woj154","woj50","domena_kat24","30","ipA5","ipB304","nie","mieszkanie","wybory308","c004","2014-11-11",
"3223127",,"miasto_woj154","woj17","domena_kat9",,"ipA11","ipB2305","nie",,,,"2014-11-13",
"4338226",,"miasto_woj154","woj12","domena_kat15","53","ipA6","ipB807","nie","mieszkanie","wybory234","r001","2014-11-11",
"2476274",,"miasto_woj154","woj17","domena_kat1",,"ipA18","ipB55","nie",,,,"2014-11-13",
"2696869","k","miasto_woj180","woj5","domena_kat24","53","ipA25","ipB929","nie","mieszkanie","wybory200","c001","2014-11-13",
"78728",,"miasto_woj154","woj17","domena_kat24",,"ipA19","ipB836","nie",,,,"2014-11-12",
"4291163",,"miasto_woj154","woj17","domena_kat24",,"ipA25","ipB1936","nie",,,,"2014-11-11",
"2289827","k","miasto_woj154","woj36","domena_kat1","47","ipA4","ipB1494","nie","mieszkanie","wybory97","r004","2014-11-13",
"3811623","k","miasto_woj154","woj10","domena_kat24","34","ipA3","ipB1828","nie","wiezowiec","wybory145","r001","2014-11-11",
"2687895","k","miasto_woj154","woj3","domena_kat24",,"ipA7","ipB2781","nie","mieszkanie","wybory278","r002","2014-11-13",
"1449562",,"miasto_woj154","woj17","domena_kat1",,"ipA11","ipB2116","nie",,,,"2014-11-12",
"3141305","k","miasto_woj154","woj13","domena_kat9","62","ipA9","ipB195","nie","skrzynka","wybory108","b004","2014-11-13",
"2731468","k","miasto_woj154","woj1","domena_kat25","31","ipA7","ipB20","nie",,,,"2014-11-13",
"3883869","k","miasto_woj154","woj38","domena_kat18","37","ipA7","ipB2534","nie","mieszkanie","wybory116","r004","2014-11-11",
"1884964","m","miasto_woj154","woj3","domena_kat18","29","ipA20","ipB2457","nie","mieszkanie","wybory34","r004","2014-11-13",
"2763285",,"miasto_woj154","woj17","domena_kat9",,"ipA3","ipB3129","nie",,,,"2014-11-13",
"4006680","m","miasto_woj184","woj33","domena_kat24",,"ipA1","ipB1055","nie","wiezowiec","wybory188","c004","2014-11-11",
"594162","k","miasto_woj154","woj32","domena_kat24","52","ipA32","ipB2653","nie","mieszkanie","wybory270","h084","2014-11-12",
"4872114",,"miasto_woj154","woj17","domena_kat1",,"ipA2","ipB1225","nie",,,,"2014-11-11",
"4538107","m","miasto_woj154","woj12","domena_kat1","58","ipA32","ipB2336","nie","mieszkanie","wybory35","c002","2014-11-11",
"4700095","k","miasto_woj180","woj5","domena_kat24",,"ipA19","ipB3159","nie","mieszkanie","wybory200","c013","2014-11-11",
"1155776","k","miasto_woj154","woj40","domena_kat10",,"ipA7","ipB785","nie","skrzynka","wybory176","b003","2014-11-12",
"4806284","k","miasto_woj154","woj38","domena_kat18","85","ipA42","ipB2263","tak",,,,"2014-11-11",
"966336","k","miasto_woj154","woj2","domena_kat24","30","ipA27","ipB1949","nie","mieszkanie","wybory144","c040","2014-11-12",
"3646723","k","miasto_woj154","woj3","domena_kat24","52","ipA79","ipB5139","tak","mieszkanie","wybory403","r008","2014-11-11",
"1141693",,"miasto_woj154","woj31","domena_kat24","71","ipA14","ipB461","nie","mieszkanie","wybory76","c001","2014-11-12",
"1872591","k","miasto_woj24","woj18","domena_kat24","54","ipA12","ipB121","nie","wiezowiec","wybory362","c019","2014-11-13",
"3136600","k","miasto_woj88","woj48","domena_kat9","61","ipA2","ipB1715","nie","mieszkanie","wybory299","c053","2014-11-13",
"3972177","m","miasto_woj49","woj6","domena_kat10",,"ipA2","ipB5019","nie","mieszkanie","wybory410","c091","2014-11-11",
"2912495","k","miasto_woj154","woj34","domena_kat9","24","ipA18","ipB593","nie","mieszkanie","wybory129","r005","2014-11-13",
"4285154","m","miasto_woj154","woj38","domena_kat1","57","ipA27","ipB3357","nie","mieszkanie","wybory105","c009","2014-11-11",
"342509","k","miasto_woj154","woj18","domena_kat22","87","ipA63","ipB3677","tak",,,,"2014-11-12",
"4038327","k","miasto_woj154","woj42","domena_kat10","66","ipA4","ipB33","tak",,,,"2014-11-11",
"1939328","k","miasto_woj54","woj3","domena_kat21","64","ipA3","ipB439","tak","mieszkanie","wybory167","c072","2014-11-13",
"841298","k","miasto_woj3","woj23","domena_kat17","77","ipA43","ipB2832","nie","mieszkanie","wybory259","c016","2014-11-12",
"581313",,"miasto_woj154","woj17","domena_kat24",,"ipA22","ipB2157","nie",,,,"2014-11-12",
"3300117","m","miasto_woj154","woj4","domena_kat5",,"ipA26","ipB2206","nie","mieszkanie","wybory123","r018","2014-11-13",
"4081856","k","miasto_woj154","woj8","domena_kat9","18","ipA30","ipB4629","nie","wiezowiec","wybory68","r013","2014-11-11",
"4072820","k","miasto_woj154","woj16","domena_kat9","50","ipA19","ipB1848","nie",,,,"2014-11-11",
"4163767",,"miasto_woj154","woj17","domena_kat24",,"ipA11","ipB367","nie",,,,"2014-11-11",
"4124526","k","miasto_woj169","woj4","domena_kat9","33","ipA20","ipB29","nie","mieszkanie","wybory360","c070","2014-11-11",
"146884","m","miasto_woj125","woj19","domena_kat9","55","ipA13","ipB702","nie","mieszkanie","wybory386","r059","2014-11-12",
"4777852",,"miasto_woj154","woj17","domena_kat10",,"ipA12","ipB3133","nie",,,,"2014-11-11",
"1000843","k","miasto_woj98","woj5","domena_kat17","63","ipA14","ipB1701","nie","mieszkanie","wybory205","r019","2014-11-12",
"307697",,"miasto_woj154","woj9","domena_kat4","76","ipA9","ipB1866","nie","mieszkanie","wybory207","c001","2014-11-12",
"3427252","m","miasto_woj98","woj5","domena_kat24","29","ipA27","ipB3819","nie","mieszkanie","wybory205","c019","2014-11-11",
"1355102",,"miasto_woj154","woj17","domena_kat24",,"ipA18","ipB712","nie",,,,"2014-11-12",
"2490523","k","miasto_woj154","woj1","domena_kat1","74","ipA14","ipB192","nie","mieszkanie","wybory1","r001","2014-11-13",
"3184215",,"miasto_woj154","woj17","domena_kat17",,"ipA18","ipB3873","nie",,,,"2014-11-13",
"4167769","k","miasto_woj154","woj15","domena_kat24",,"ipA3","ipB1815","nie","wiezowiec","wybory419","c081","2014-11-11",
"2767757",,"miasto_woj154","woj17","domena_kat10",,"ipA12","ipB56","nie",,,,"2014-11-13",
"4134261","k","miasto_woj141","woj18","domena_kat24",,"ipA3","ipB175","nie",,,,"2014-11-11",
"3853122","k","miasto_woj39","woj6","domena_kat1","52","ipA19","ipB1227","nie","mieszkanie","wybory122","r081","2014-11-11",
"4245022",,"miasto_woj154","woj17","domena_kat1",,"ipA24","ipB103","nie",,,,"2014-11-11",
"4782461",,"miasto_woj154","woj17","domena_kat17",,"ipA22","ipB1300","nie",,,,"2014-11-11",
"4174901","k","miasto_woj154","woj2","domena_kat9","72","ipA23","ipB2750","tak",,,,"2014-11-11",
"53344",,"miasto_woj154","woj17","domena_kat24",,"ipA2","ipB871","nie",,,,"2014-11-12",
"3517426",,"miasto_woj154","woj17","domena_kat5",,"ipA22","ipB1683","nie",,,,"2014-11-11",
"4485144",,"miasto_woj154","woj19","domena_kat24",,"ipA17","ipB470","nie",,,,"2014-11-11",
"3117791","m","miasto_woj87","woj3","domena_kat17",,"ipA12","ipB1370","nie","mieszkanie","wybory413","c020","2014-11-13",
"2734845","k","miasto_woj154","woj34","domena_kat9","22","ipA47","ipB1656","nie","mieszkanie","wybory89","c001","2014-11-13",
"3840362",,"miasto_woj154","woj17","domena_kat24",,"ipA24","ipB1020","nie",,,,"2014-11-11",
"4529655","k","miasto_woj154","woj12","domena_kat9","22","ipA19","ipB2074","nie","wiezowiec","wybory354","c041","2014-11-11",
"4277371",,"miasto_woj129","woj9","domena_kat18",,"ipA5","ipB2346","nie",,,,"2014-11-11",
"3468827",,"miasto_woj154","woj17","domena_kat9","47","ipA25","ipB638","nie",,,,"2014-11-11",
"862499","k","miasto_woj92","woj46","domena_kat24","21","ipA2","ipB706","nie","mieszkanie","wybory203","c013","2014-11-12",
"4217976","k","miasto_woj154","woj28","domena_kat17","47","ipA54","ipB6647","nie",,,,"2014-11-11",
"2498172","k","miasto_woj154","woj47","domena_kat9","25","ipA26","ipB231","nie","mieszkanie","wybory221","c007","2014-11-13",
"659660","k","miasto_woj154","woj8","domena_kat9","27","ipA16","ipB2692","nie","mieszkanie","wybory41","r004","2014-11-12",
"3202010","k","miasto_woj87","woj3","domena_kat24","26","ipA6","ipB2879","nie","mieszkanie","wybory3","c005","2014-11-13",
"2179854",,"miasto_woj154","woj17","domena_kat17",,"ipA72","ipB5228","nie",,,,"2014-11-13",
"3152773","m","miasto_woj154","woj38","domena_kat9","55","ipA31","ipB615","nie","mieszkanie","wybory367","r022","2014-11-13",
"946687",,"miasto_woj154","woj17","domena_kat24",,"ipA27","ipB3722","nie",,,,"2014-11-12",
"2344160",,"miasto_woj154","woj17","domena_kat17",,"ipA14","ipB3082","nie",,,,"2014-11-13",
"4546363","k","miasto_woj154","woj14","domena_kat8","57","ipA26","ipB1445","nie","mieszkanie","wybory55","c088","2014-11-11",
"3187857","k","miasto_woj154","woj10","domena_kat24","28","ipA7","ipB1880","nie","mieszkanie","wybory145","c012","2014-11-13",
"1130306",,"miasto_woj154","woj3","domena_kat10",,"ipA21","ipB867","nie",,,,"2014-11-12",
"174708",,"miasto_woj154","woj17","domena_kat21",,"ipA11","ipB4255","nie",,,,"2014-11-12",
"862626","k","miasto_woj154","woj10","domena_kat24","25","ipA5","ipB2329","nie","mieszkanie","wybory145","r042","2014-11-12",
"3280093","k","miasto_woj154","woj9","domena_kat24","47","ipA11","ipB477","nie","mieszkanie","wybory207","r014","2014-11-13",
"957147","k","miasto_woj154","woj48","domena_kat9","50","ipA24","ipB1619","nie","mieszkanie","wybory297","r007","2014-11-12",
"45463",,"miasto_woj154","woj17","domena_kat1",,"ipA22","ipB566","nie",,,,"2014-11-12",
"658154",,"miasto_woj154","woj17","domena_kat17",,"ipA17","ipB1584","nie",,,,"2014-11-12",
"3249874","k","miasto_woj117","woj12","domena_kat24","36","ipA2","ipB2062","nie","mieszkanie","wybory404","c021","2014-11-13",
"2887031","k","miasto_woj43","woj3","domena_kat1","72","ipA28","ipB357","tak",,,,"2014-11-13",
"3849071",,"miasto_woj154","woj17","domena_kat10",,"ipA25","ipB1611","nie",,,,"2014-11-11",
"660878","m","miasto_woj83","woj8","domena_kat24","51","ipA1","ipB3061","nie","wiezowiec","wybory256","c016","2014-11-12",
"1543890","k","miasto_woj167","woj6","domena_kat9","58","ipA11","ipB2663","nie","mieszkanie","wybory75","c002","2014-11-12",
"1782511","k","miasto_woj154","woj32","domena_kat17",,"ipA2","ipB2320","nie","mieszkanie","wybory210","c011","2014-11-13",
"2807233",,"miasto_woj154","woj17","domena_kat17",,"ipA14","ipB2369","nie",,,,"2014-11-13",
"2899114","k","miasto_woj154","woj16","domena_kat5","45","ipA13","ipB1317","tak",,,,"2014-11-13",
"2459158",,"miasto_woj154","woj17","domena_kat9",,"ipA24","ipB6398","nie",,,,"2014-11-13",
"1377871",,"miasto_woj154","woj17","domena_kat5",,"ipA26","ipB2094","nie",,,,"2014-11-12",
"2828241","k","miasto_woj154","woj20","domena_kat18","25","ipA1","ipB1710","nie","mieszkanie","wybory169","r019","2014-11-13",
"887801",,"miasto_woj154","woj17","domena_kat9",,"ipA13","ipB1320","nie",,,,"2014-11-12",
"3150195","k","miasto_woj154","woj47","domena_kat10","20","ipA26","ipB261","nie","mieszkanie","wybory349","h072","2014-11-13",
"844390","k","miasto_woj154","woj5","domena_kat24",,"ipA27","ipB2631","nie","wiezowiec","wybory133","c004","2014-11-12",
"4842798",,"miasto_woj154","woj17","domena_kat10","59","ipA12","ipB656","nie",,,,"2014-11-11",
"3710718",,"miasto_woj154","woj17","domena_kat1",,"ipA10","ipB2589","nie",,,,"2014-11-11",
"3023124",,"miasto_woj154","woj17","domena_kat17",,"ipA25","ipB531","nie",,,,"2014-11-13",
"4101567","k","miasto_woj154","woj5","domena_kat10","57","ipA13","ipB1008","tak",,,,"2014-11-11",
"2568346",,"miasto_woj154","woj17","domena_kat9",,"ipA19","ipB827","nie",,,,"2014-11-13",
"2907388","k","miasto_woj141","woj18","domena_kat17","47","ipA71","ipB1435","nie",,,,"2014-11-13",
"4371373","k","miasto_woj126","woj11","domena_kat9","38","ipA5","ipB1397","nie","mieszkanie","wybory192","c044","2014-11-11",
"4163893",,"miasto_woj154","woj4","domena_kat15","70","ipA5","ipB2530","nie","mieszkanie","wybory29","c068","2014-11-11",
"2595533",,"miasto_woj154","woj17","domena_kat9",,"ipA36","ipB4415","nie",,,,"2014-11-13",
"2341866",,"miasto_woj154","woj17","domena_kat17",,"ipA47","ipB4883","nie",,,,"2014-11-13",
"4112869","k","miasto_woj154","woj6","domena_kat24","29","ipA11","ipB759","tak","mieszkanie","wybory410","c039","2014-11-11",
"2720552",,"miasto_woj154","woj17","domena_kat1",,"ipA17","ipB112","nie",,,,"2014-11-13",
"2236908","k","miasto_woj154","woj28","domena_kat9","24","ipA26","ipB142","nie","mieszkanie","wybory366","c002","2014-11-13",
"1281818",,"miasto_woj154","woj19","domena_kat10",,"ipA11","ipB1684","nie",,,,"2014-11-12",
"3030896","k","miasto_woj154","woj43","domena_kat1",,"ipA25","ipB3294","nie","mieszkanie","wybory158","c004","2014-11-13",
"2017126","k","miasto_woj154","woj32","domena_kat3",,"ipA6","ipB286","nie",,,,"2014-11-13",
"4336898","k","miasto_woj154","woj16","domena_kat24","58","ipA47","ipB5287","nie","mieszkanie","wybory328","r003","2014-11-11",
"4374116",,"miasto_woj130","woj39","domena_kat9",,"ipA1","ipB1013","nie",,,,"2014-11-11",
