id,plec,miasto_kat,wojewodztwo,domena_kat,wiek,IPA,IPB,wynik,typ_adresu,wybory,poczta,data,
"3752809","m","miasto_woj154","woj39","domena_kat9","55","ipA6","ipB6","nie","wiezowiec","wybory225","r009","2014-11-11",
"1423291","k","miasto_woj154","woj48","domena_kat18","26","ipA19","ipB2387","nie","mieszkanie","wybory269","r007","2014-11-12",
"3799918",,"miasto_woj154","woj21","domena_kat9",,"ipA3","ipB1394","nie",,,,"2014-11-11",
"4603147","k","miasto_woj154","woj27","domena_kat6","59","ipA5","ipB428","nie","mieszkanie","wybory81","c006","2014-11-11",
"2594620",,"miasto_woj154","woj4","domena_kat9",,"ipA12","ipB81","nie",,,,"2014-11-13",
"4653363","m","miasto_woj154","woj19","domena_kat24","50","ipA19","ipB1405","nie","wiezowiec","wybory139","r007","2014-11-11",
"3162848","m","miasto_woj129","woj9","domena_kat9","18","ipA17","ipB3141","nie","mieszkanie","wybory160","c061","2014-11-13",
"2801396","k","miasto_woj154","woj4","domena_kat9","26","ipA17","ipB306","nie","mieszkanie","wybory31","c013","2014-11-13",
"831368",,"miasto_woj154","woj12","domena_kat17","48","ipA7","ipB1072","nie","wiezowiec","wybory347","c008","2014-11-12",
"4120788","k","miasto_woj35","woj1","domena_kat9","37","ipA23","ipB58","tak","mieszkanie","wybory340","c026","2014-11-11",
"2519636","k","miasto_woj154","woj39","domena_kat9","18","ipA18","ipB3244","nie",,,,"2014-11-13",
"2585907","k","miasto_woj57","woj42","domena_kat24","22","ipA4","ipB6894","nie","wiezowiec","wybory127","c040","2014-11-13",
"3485515","k","miasto_woj154","woj38","domena_kat24","25","ipA42","ipB2215","nie","mieszkanie","wybory374","r013","2014-11-11",
"1940014","m","miasto_woj154","woj15","domena_kat13","28","ipA8","ipB1963","nie","mieszkanie","wybory30","c016","2014-11-13",
"4588777","m","miasto_woj154","woj11","domena_kat9","39","ipA14","ipB758","nie","mieszkanie","wybory304","c001","2014-11-11",
"4321176","m","miasto_woj154","woj12","domena_kat24","35","ipA1","ipB22","nie",,,,"2014-11-11",
"1644403",,"miasto_woj77","woj38","domena_kat24","59","ipA16","ipB2396","nie","mieszkanie","wybory335","c078","2014-11-12",
"4800120",,"miasto_woj154","woj3","domena_kat9",,"ipA10","ipB54","nie","mieszkanie","wybory412","c010","2014-11-11",
"3130956","m","miasto_woj210","woj18","domena_kat9","38","ipA4","ipB4","nie","wiezowiec","wybory300","c007","2014-11-13",
"2551374","k","miasto_woj154","woj14","domena_kat24","43","ipA6","ipB6","nie","wiezowiec","wybory54","c009","2014-11-13",
"4734259","k","miasto_woj154","woj16","domena_kat24","69","ipA18","ipB649","nie","mieszkanie","wybory264","r093","2014-11-11",
"803713","k","miasto_woj6","woj12","domena_kat24","51","ipA2","ipB833","nie","mieszkanie","wybory255","c038","2014-11-12",
"2021114","m","miasto_woj141","woj18","domena_kat24","35","ipA6","ipB1123","nie",,,,"2014-11-13",
"4814633",,"miasto_woj154","woj32","domena_kat3","54","ipA3","ipB4060","nie","mieszkanie","wybory210","c002","2014-11-11",
"4797056","m","miasto_woj154","woj48","domena_kat24","32","ipA12","ipB275","nie","mieszkanie","wybory285","c015","2014-11-11",
"3927157","m","miasto_woj128","woj8","domena_kat24","28","ipA6","ipB6","nie","mieszkanie","wybory95","c024","2014-11-11",
"2974322","k","miasto_woj180","woj5","domena_kat24","57","ipA13","ipB46","nie",,,,"2014-11-13",
"2433924","k","miasto_woj60","woj20","domena_kat9","38","ipA6","ipB6","nie","wiezowiec","wybory111","c075","2014-11-13",
"4689993","m","miasto_woj3","woj23","domena_kat13",,"ipA22","ipB40","nie","mieszkanie","wybory259","c025","2014-11-11",
"4637794",,"miasto_woj154","woj17","domena_kat17",,"ipA11","ipB585","nie",,,,"2014-11-11",
"3959711",,"miasto_woj154","woj6","domena_kat9","23","ipA22","ipB1032","nie","mieszkanie","wybory378","c063","2014-11-11",
"3349007",,"miasto_woj154","woj14","domena_kat1","60","ipA4","ipB609","nie","mieszkanie","wybory54","r003","2014-11-13",
"125973","m","miasto_woj215","woj27","domena_kat9","40","ipA15","ipB321","nie","mieszkanie","wybory65","c002","2014-11-12",
"907785","m","miasto_woj38","woj1","domena_kat24","42","ipA4","ipB138","nie","mieszkanie","wybory22","c016","2014-11-12",
"3123183","m","miasto_woj135","woj19","domena_kat9","26","ipA19","ipB569","nie","mieszkanie","wybory213","c001","2014-11-13",
"2380366",,"miasto_woj42","woj1","domena_kat24","70","ipA24","ipB4750","nie","mieszkanie","wybory364","c030","2014-11-13",
"3274130",,"miasto_woj154","woj40","domena_kat24",,"ipA61","ipB858","nie","mieszkanie","wybory110","c021","2014-11-13",
"1210077","m","miasto_woj138","woj19","domena_kat24","52","ipA4","ipB4","nie","mieszkanie","wybory246","c004","2014-11-12",
"2670481",,"miasto_woj154","woj49","domena_kat10","62","ipA26","ipB2029","nie","mieszkanie","wybory231","r001","2014-11-13",
"4726609","m","miasto_woj141","woj18","domena_kat24","35","ipA6","ipB6484","nie",,,,"2014-11-11",
"4835641","k","miasto_woj154","woj42","domena_kat10",,"ipA13","ipB2496","nie","mieszkanie","wybory127","c020","2014-11-11",
"3817375","m","miasto_woj154","woj20","domena_kat24","63","ipA19","ipB31","nie","skrzynka","wybory181","b003","2014-11-11",
"4874326","m","miasto_woj154","woj28","domena_kat9","40","ipA10","ipB54","nie","mieszkanie","wybory66","c035","2014-11-11",
"4731151",,"miasto_woj154","woj17","domena_kat9",,"ipA17","ipB2748","nie",,,,"2014-11-11",
"4736267","m","miasto_woj188","woj12","domena_kat1","53","ipA19","ipB577","nie","wiezowiec","wybory387","c004","2014-11-11",
"2993990",,"miasto_woj154","woj17","domena_kat9",,"ipA4","ipB1608","nie",,,,"2014-11-13",
"577149","m","miasto_woj207","woj12","domena_kat24","46","ipA22","ipB5929","nie","mieszkanie","wybory234","c055","2014-11-12",
"2869253",,"miasto_woj154","woj32","domena_kat24",,"ipA14","ipB1833","nie",,,,"2014-11-13",
"4681084","k","miasto_woj154","woj2","domena_kat24","46","ipA26","ipB834","nie","mieszkanie","wybory140","r001","2014-11-11",
"2676821",,"miasto_woj154","woj17","domena_kat9",,"ipA25","ipB3121","nie",,,,"2014-11-13",
"3083617","k","miasto_woj154","woj14","domena_kat9","46","ipA20","ipB1154","nie","mieszkanie","wybory326","r004","2014-11-13",
"3766982","k","miasto_woj154","woj31","domena_kat9","18","ipA2","ipB1709","nie","mieszkanie","wybory142","r128","2014-11-11",
"4816647",,"miasto_woj154","woj8","domena_kat9","36","ipA3","ipB866","nie",,,,"2014-11-11",
"4301651","k","miasto_woj154","woj5","domena_kat9",,"ipA43","ipB3726","nie","mieszkanie","wybory106","r082","2014-11-11",
"1775612","m","miasto_woj154","woj12","domena_kat9","19","ipA4","ipB4","nie","wiezowiec","wybory219","c001","2014-11-12",
"4200592","m","miasto_woj61","woj14","domena_kat9","44","ipA3","ipB2452","nie","mieszkanie","wybory54","c032","2014-11-11",
"1642471",,"miasto_woj101","woj8","domena_kat1","27","ipA16","ipB36","nie",,,,"2014-11-12",
"1947082","m","miasto_woj154","woj40","domena_kat24","29","ipA1","ipB2356","nie","mieszkanie","wybory110","c020","2014-11-13",
"3888958","k","miasto_woj154","woj37","domena_kat24","33","ipA25","ipB2151","nie","wiezowiec","wybory306","c023","2014-11-11",
"3908147","k","miasto_woj154","woj28","domena_kat5","73","ipA25","ipB700","nie","mieszkanie","wybory134","r033","2014-11-11",
"2179063","k","miasto_woj154","woj12","domena_kat9","62","ipA6","ipB6","nie","mieszkanie","wybory283","c060","2014-11-13",
"4560651",,"miasto_woj178","woj12","domena_kat9","18","ipA4","ipB4","nie","mieszkanie","wybory199","c060","2014-11-11",
"1038358","m","miasto_woj216","woj11","domena_kat9","28","ipA4","ipB4","nie",,,,"2014-11-12",
